1.8,1999,4,29
1.8,1999,4,29
2,2008,4,31
2,2008,4,30
2.8,1999,6,26
2.8,1999,6,26
3.1,2008,6,27
1.8,1999,4,26
1.8,1999,4,25
2,2008,4,28
2,2008,4,27
2.8,1999,6,25
2.8,1999,6,25
3.1,2008,6,25
3.1,2008,6,25
2.8,1999,6,24
3.1,2008,6,25
4.2,2008,8,23
5.3,2008,8,20
5.3,2008,8,15
5.3,2008,8,20
5.7,1999,8,17
6,2008,8,17
5.7,1999,8,26
5.7,1999,8,23
6.2,2008,8,26
6.2,2008,8,25
7,2008,8,24
5.3,2008,8,19
5.3,2008,8,14
5.7,1999,8,15
6.5,1999,8,17
2.4,1999,4,27
2.4,2008,4,30
3.1,1999,6,26
3.5,2008,6,29
3.6,2008,6,26
2.4,1999,4,24
3,1999,6,24
3.3,1999,6,22
3.3,1999,6,22
3.3,2008,6,24
3.3,2008,6,24
3.3,2008,6,17
3.8,1999,6,22
3.8,1999,6,21
3.8,2008,6,23
4,2008,6,23
3.7,2008,6,19
3.7,2008,6,18
3.9,1999,6,17
3.9,1999,6,17
4.7,2008,8,19
4.7,2008,8,19
4.7,2008,8,12
5.2,1999,8,17
5.2,1999,8,15
3.9,1999,6,17
4.7,2008,8,17
4.7,2008,8,12
4.7,2008,8,17
5.2,1999,8,16
5.7,2008,8,18
5.9,1999,8,15
4.7,2008,8,16
4.7,2008,8,12
4.7,2008,8,17
4.7,2008,8,17
4.7,2008,8,16
4.7,2008,8,12
5.2,1999,8,15
5.2,1999,8,16
5.7,2008,8,17
5.9,1999,8,15
4.6,1999,8,17
5.4,1999,8,17
5.4,2008,8,18
4,1999,6,17
4,1999,6,19
4,1999,6,17
4,2008,6,19
4.6,2008,8,19
5,1999,8,17
4.2,1999,6,17
4.2,1999,6,17
4.6,1999,8,16
4.6,1999,8,16
4.6,2008,8,17
5.4,1999,8,15
5.4,2008,8,17
3.8,1999,6,26
3.8,1999,6,25
4,2008,6,26
4,2008,6,24
4.6,1999,8,21
4.6,1999,8,22
4.6,2008,8,23
4.6,2008,8,22
5.4,2008,8,20
1.6,1999,4,33
1.6,1999,4,32
1.6,1999,4,32
1.6,1999,4,29
1.6,1999,4,32
1.8,2008,4,34
1.8,2008,4,36
1.8,2008,4,36
2,2008,4,29
2.4,1999,4,26
2.4,1999,4,27
2.4,2008,4,30
2.4,2008,4,31
2.5,1999,6,26
2.5,1999,6,26
3.3,2008,6,28
2,1999,4,26
2,1999,4,29
2,2008,4,28
2,2008,4,27
2.7,2008,6,24
2.7,2008,6,24
2.7,2008,6,24
3,2008,6,22
3.7,2008,6,19
4,1999,6,20
4.7,1999,8,17
4.7,2008,8,12
4.7,2008,8,19
5.7,2008,8,18
6.1,2008,8,14
4,1999,8,15
4.2,2008,8,18
4.4,2008,8,18
4.6,1999,8,15
5.4,1999,8,17
5.4,1999,8,16
5.4,2008,8,18
4,1999,6,17
4,2008,6,19
4.6,2008,8,19
5,1999,8,17
2.4,1999,4,29
2.4,1999,4,27
2.5,2008,4,31
2.5,2008,4,32
3.5,2008,6,27
3.5,2008,6,26
3,1999,6,26
3,1999,6,25
3.5,2008,6,25
3.3,1999,6,17
3.3,1999,6,17
4,2008,6,20
5.6,2008,8,18
3.1,1999,6,26
3.8,1999,6,26
3.8,1999,6,27
3.8,2008,6,28
5.3,2008,8,25
2.5,1999,4,25
2.5,1999,4,24
2.5,2008,4,27
2.5,2008,4,25
2.5,2008,4,26
2.5,2008,4,23
2.2,1999,4,26
2.2,1999,4,26
2.5,1999,4,26
2.5,1999,4,26
2.5,2008,4,25
2.5,2008,4,27
2.5,2008,4,25
2.5,2008,4,27
2.7,1999,4,20
2.7,1999,4,20
3.4,1999,6,19
3.4,1999,6,17
4,2008,6,20
4.7,2008,8,17
2.2,1999,4,29
2.2,1999,4,27
2.4,2008,4,31
2.4,2008,4,31
3,1999,6,26
3,1999,6,26
3.5,2008,6,28
2.2,1999,4,27
2.2,1999,4,29
2.4,2008,4,31
2.4,2008,4,31
3,1999,6,26
3,1999,6,26
3.3,2008,6,27
1.8,1999,4,30
1.8,1999,4,33
1.8,1999,4,35
1.8,2008,4,37
1.8,2008,4,35
4.7,1999,8,15
5.7,2008,8,18
2.7,1999,4,20
2.7,1999,4,20
2.7,2008,4,22
3.4,1999,6,17
3.4,1999,6,19
4,2008,6,18
4,2008,6,20
2,1999,4,29
2,1999,4,26
2,2008,4,29
2,2008,4,29
2.8,1999,6,24
1.9,1999,4,44
2,1999,4,29
2,1999,4,26
2,2008,4,29
2,2008,4,29
2.5,2008,5,29
2.5,2008,5,29
2.8,1999,6,23
2.8,1999,6,24
1.9,1999,4,44
1.9,1999,4,41
2,1999,4,29
2,1999,4,26
2.5,2008,5,28
2.5,2008,5,29
1.8,1999,4,29
1.8,1999,4,29
2,2008,4,28
2,2008,4,29
2.8,1999,6,26
2.8,1999,6,26
3.6,2008,6,26